,AAPL,GOOG,MSFT
2025-09-09 16:42:00+00:00,235.86000061035156,237.41319274902344,
2025-09-09 16:43:00+00:00,235.92730712890625,237.38999938964844,
2025-09-09 16:44:00+00:00,235.97999572753906,237.42999267578125,
2025-09-09 16:45:00+00:00,236.0500030517578,237.49000549316406,
2025-09-09 16:46:00+00:00,236.1793975830078,237.5,
2025-09-09 16:47:00+00:00,236.3157958984375,237.4949951171875,
2025-09-09 16:48:00+00:00,236.35000610351562,237.52000427246094,
2025-09-09 16:49:00+00:00,236.35009765625,237.4199981689453,
2025-09-09 16:50:00+00:00,236.3300018310547,237.30999755859375,
2025-09-09 16:51:00+00:00,236.25,237.30999755859375,
2025-09-09 16:52:00+00:00,236.27999877929688,237.31500244140625,
2025-09-09 16:53:00+00:00,236.27000427246094,237.3350067138672,
2025-09-09 16:54:00+00:00,236.25,237.4174041748047,
2025-09-09 16:55:00+00:00,236.35000610351562,237.63999938964844,
2025-09-09 16:56:00+00:00,236.32000732421875,237.61000061035156,
2025-09-09 16:57:00+00:00,236.5225067138672,237.61500549316406,
2025-09-09 16:58:00+00:00,236.5800018310547,237.55999755859375,
2025-09-09 16:59:00+00:00,236.61959838867188,237.5699005126953,
2025-09-09 17:00:00+00:00,236.97000122070312,237.66000366210938,
2025-09-09 17:01:00+00:00,236.86000061035156,237.64999389648438,
2025-09-09 17:02:00+00:00,236.6999969482422,237.74000549316406,
2025-09-09 17:03:00+00:00,237.03160095214844,237.7100067138672,
2025-09-09 17:04:00+00:00,236.97999572753906,238.125,
2025-09-09 17:05:00+00:00,236.9600067138672,238.0800018310547,
2025-09-09 17:06:00+00:00,236.97000122070312,238.1999969482422,
2025-09-09 17:07:00+00:00,236.92999267578125,237.91000366210938,
2025-09-09 17:08:00+00:00,237.0449981689453,237.99000549316406,
2025-09-09 17:09:00+00:00,237.39990234375,238.17759704589844,
2025-09-09 17:10:00+00:00,237.64999389648438,238.13999938964844,
2025-09-09 17:11:00+00:00,238.05999755859375,238.25999450683594,
2025-09-09 17:12:00+00:00,238.2899932861328,238.1300048828125,
2025-09-09 17:13:00+00:00,238.38800048828125,238.02000427246094,
2025-09-09 17:14:00+00:00,238.0500030517578,238.0,
2025-09-09 17:15:00+00:00,238.27000427246094,238.0800018310547,
